date,week,name,address,tel,night_tel,type,time_1st,time_2nd,date_week,time,lat,lon,navi
2023-09-01,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月1日 金曜日,08:30～17:30 / 17:30～翌日08:30,34.0692414,132.9947473,"https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473"
2023-09-02,土曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,,2023年9月2日 土曜日,08:30～17:30,34.0656286,133.0006026,"https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026"
2023-09-02,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,17:30～翌日08:30,,2023年9月2日 土曜日,17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-03,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月3日 日曜日,08:30～17:30 / 17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-03,日曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,小児科,09:00～17:00,,2023年9月3日 日曜日,09:00～17:00,34.0853711,132.9869297,"https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297"
2023-09-03,日曜日,斎藤クリニック,今治市吉海町仁江１６－２,0897-84-4333,0897-84-4333,島しょ部,09:00～17:00,,2023年9月3日 日曜日,09:00～17:00,34.1487981,133.0442599,"https://www.google.com/maps/dir/?api=1&destination=34.1487981,133.0442599"
2023-09-04,月曜日,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月4日 月曜日,08:30～17:30 / 17:30～翌日08:30,34.0658354,132.9940533,"https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533"
2023-09-05,火曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月5日 火曜日,08:30～17:30 / 17:30～翌日08:30,34.0442409,133.0203312,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312"
2023-09-06,水曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月6日 水曜日,08:30～17:30 / 17:30～翌日08:30,34.0663904,132.9895736,"https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736"
2023-09-07,木曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月7日 木曜日,08:30～17:30 / 17:30～翌日08:30,34.0656286,133.0006026,"https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026"
2023-09-08,金曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月8日 金曜日,08:30～17:30 / 17:30～翌日08:30,34.0853711,132.9869297,"https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297"
2023-09-09,土曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,,2023年9月9日 土曜日,08:30～17:30,34.0692414,132.9947473,"https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473"
2023-09-09,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,17:30～翌日08:30,,2023年9月9日 土曜日,17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-10,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月10日 日曜日,08:30～17:30 / 17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-10,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,内科,09:00～17:30,,2023年9月10日 日曜日,09:00～17:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-10,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,小児科,09:00～17:00,,2023年9月10日 日曜日,09:00～17:00,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-10,日曜日,医療法人　喜多嶋診療所,今治市伯方町木浦甲３４４９,0897-72-0250,,島しょ部,09:00～17:00,,2023年9月10日 日曜日,09:00～17:00,34.203984,133.11282,"https://www.google.com/maps/dir/?api=1&destination=34.203984,133.11282"
2023-09-11,月曜日,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,0898-47-0100,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月11日 月曜日,08:30～17:30 / 17:30～翌日08:30,34.04326043,133.0239411,"https://www.google.com/maps/dir/?api=1&destination=34.04326043,133.0239411"
2023-09-12,火曜日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月12日 火曜日,08:30～17:30 / 17:30～翌日08:30,34.0663904,132.9895736,"https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736"
2023-09-13,水曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月13日 水曜日,08:30～17:30 / 17:30～翌日08:30,34.0853711,132.9869297,"https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297"
2023-09-14,木曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月14日 木曜日,08:30～17:30 / 17:30～翌日08:30,34.0442409,133.0203312,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312"
2023-09-15,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月15日 金曜日,08:30～17:30 / 17:30～翌日08:30,34.0692414,132.9947473,"https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473"
2023-09-16,土曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月16日 土曜日,08:30～17:30 / 17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-17,日曜日,瀬戸内海病院,今治市北宝来町２－４－９,0898-23-0655,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月17日 日曜日,08:30～17:30 / 17:30～翌日08:30,34.0658354,132.9940533,"https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533"
2023-09-17,日曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,小児科,09:00～17:00,,2023年9月17日 日曜日,09:00～17:00,34.0442409,133.0203312,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312"
2023-09-17,日曜日,はかた外科,今治市伯方町叶浦甲１６６７－２５,0897-72-1711,,島しょ部,09:00～17:00,,2023年9月17日 日曜日,09:00～17:00,34.2057821,133.0745082,"https://www.google.com/maps/dir/?api=1&destination=34.2057821,133.0745082"
2023-09-18,祝日,今治第一病院,今治市宮下町１―１―２１,0898-23-2000,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月18日 祝日,08:30～17:30 / 17:30～翌日08:30,34.0663904,132.9895736,"https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736"
2023-09-18,祝日,みぶ小児科,今治市北宝来町三丁目１番２７号,0898-23-7525,,小児科,09:00～17:00,,2023年9月18日 祝日,09:00～17:00,34.0658366,132.9928935,"https://www.google.com/maps/dir/?api=1&destination=34.0658366,132.9928935"
2023-09-18,祝日,しのざき整形外科,今治市伯方町伊方甲１０２２－１,0897-73-1221,0897-73-1221,島しょ部,09:00～17:00,,2023年9月18日 祝日,09:00～17:00,34.2209377,133.0674465,"https://www.google.com/maps/dir/?api=1&destination=34.2209377,133.0674465"
2023-09-19,火曜日,県立今治病院,今治市石井町４－５－５,0898-32-7111,0898-32-7111,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月19日 火曜日,08:30～17:30 / 17:30～翌日08:30,34.0853711,132.9869297,"https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297"
2023-09-20,水曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月20日 水曜日,08:30～17:30 / 17:30～翌日08:30,34.0442409,133.0203312,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312"
2023-09-21,木曜日,白石病院,今治市松本町１－５－９,0898-32-4135,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月21日 木曜日,08:30～17:30 / 17:30～翌日08:30,34.0656286,133.0006026,"https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026"
2023-09-22,金曜日,木原病院,今治市別宮町３－７－８,0898-23-0634,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月22日 金曜日,08:30～17:30 / 17:30～翌日08:30,34.0692414,132.9947473,"https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473"
2023-09-23,祝日,放射線第一病院,今治市北日吉町１丁目１０番５０号,0898-23-3358,0898-23-3358,指定なし,08:30～17:30,,2023年9月23日 祝日,08:30～17:30,34.0650153,132.9905423,"https://www.google.com/maps/dir/?api=1&destination=34.0650153,132.9905423"
2023-09-23,祝日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,17:30～翌日08:30,,2023年9月23日 祝日,17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-23,祝日,まつうらバンビクリニック,今治市北宝来町３－３－３４,0898-22-0573,0898-22-0573,小児科,09:00～17:00,,2023年9月23日 祝日,09:00～17:00,34.0669145,132.9922638,"https://www.google.com/maps/dir/?api=1&destination=34.0669145,132.9922638"
2023-09-23,祝日,片山医院,今治市吉海町幸新田７１,0897-84-2620,,島しょ部,09:00～17:00,,2023年9月23日 祝日,09:00～17:00,34.1468571,133.0423387,"https://www.google.com/maps/dir/?api=1&destination=34.1468571,133.0423387"
2023-09-24,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月24日 日曜日,08:30～17:30 / 17:30～翌日08:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-24,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,内科,09:00～17:30,,2023年9月24日 日曜日,09:00～17:30,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-24,日曜日,今治市医師会市民病院,今治市別宮町７－１－４０,0898-22-7611,,小児科,09:00～17:00,,2023年9月24日 日曜日,09:00～17:00,34.0736823,132.9916019,"https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019"
2023-09-24,日曜日,有津むらかみクリニック,今治市伯方町有津甲２３３１番地,0897-7-3200,0897-72-3200,島しょ部,09:00～17:00,,2023年9月24日 日曜日,09:00～17:00,34.2022441,133.0919751,"https://www.google.com/maps/dir/?api=1&destination=34.2022441,133.0919751"
2023-09-25,月曜日,広瀬病院,今治市喜田村６丁目５番１号,0898-47-0100,0898-47-0100,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月25日 月曜日,08:30～17:30 / 17:30～翌日08:30,34.04326043,133.0239411,"https://www.google.com/maps/dir/?api=1&destination=34.04326043,133.0239411"
2023-09-26,火曜日,済生会今治病院,今治市喜田村７丁目１番６号,0898-47-2500,0898-47-2500,指定なし,08:30～17:30,17:30～翌日08:30,2023年9月26日 火曜日,08:30～17:30 / 17:30～翌日08:30,34.0442409,133.0203312,"https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312"
