id	date	week	name	address	tel	night_tel	type	time_1st	time_2nd	date_week	time	lat	lon	navi
28	2023-09-04	月曜日	瀬戸内海病院	今治市北宝来町２－４－９	0898-23-0655		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月4日 月曜日	08:30～17:30 / 17:30～翌日08:30	34.0658354	132.9940533	https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533
29	2023-09-05	火曜日	済生会今治病院	今治市喜田村７丁目１番６号	0898-47-2500	0898-47-2500	指定なし	08:30～17:30	17:30～翌日08:30	2023年9月5日 火曜日	08:30～17:30 / 17:30～翌日08:30	34.0442409	133.0203312	https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312
30	2023-09-06	水曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月6日 水曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
31	2023-09-07	木曜日	白石病院	今治市松本町１－５－９	0898-32-4135		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月7日 木曜日	08:30～17:30 / 17:30～翌日08:30	34.0656286	133.0006026	https://www.google.com/maps/dir/?api=1&destination=34.0656286,133.0006026
32	2023-09-08	金曜日	県立今治病院	今治市石井町４－５－５	0898-32-7111	0898-32-7111	指定なし	08:30～17:30	17:30～翌日08:30	2023年9月8日 金曜日	08:30～17:30 / 17:30～翌日08:30	34.0853711	132.9869297	https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297
33	2023-09-09	土曜日	木原病院	今治市別宮町３－７－８	0898-23-0634		指定なし	08:30～17:30		2023年9月9日 土曜日	08:30～17:30	34.0692414	132.9947473	https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473
34	2023-09-09	土曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	17:30～翌日08:30		2023年9月9日 土曜日	17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
35	2023-09-10	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月10日 日曜日	08:30～17:30 / 17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
36	2023-09-10	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		内科	09:00～17:30		2023年9月10日 日曜日	09:00～17:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
37	2023-09-10	日曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		小児科	09:00～17:00		2023年9月10日 日曜日	09:00～17:00	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
38	2023-09-10	日曜日	医療法人　喜多嶋診療所	今治市伯方町木浦甲３４４９	0897-72-0250		島しょ部	09:00～17:00		2023年9月10日 日曜日	09:00～17:00	34.203984	133.11282	https://www.google.com/maps/dir/?api=1&destination=34.203984,133.11282
39	2023-09-11	月曜日	広瀬病院	今治市喜田村６丁目５番１号	0898-47-0100	0898-47-0100	指定なし	08:30～17:30	17:30～翌日08:30	2023年9月11日 月曜日	08:30～17:30 / 17:30～翌日08:30	34.04326043	133.0239411	https://www.google.com/maps/dir/?api=1&destination=34.04326043,133.0239411
40	2023-09-12	火曜日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月12日 火曜日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
41	2023-09-13	水曜日	県立今治病院	今治市石井町４－５－５	0898-32-7111	0898-32-7111	指定なし	08:30～17:30	17:30～翌日08:30	2023年9月13日 水曜日	08:30～17:30 / 17:30～翌日08:30	34.0853711	132.9869297	https://www.google.com/maps/dir/?api=1&destination=34.0853711,132.9869297
42	2023-09-14	木曜日	済生会今治病院	今治市喜田村７丁目１番６号	0898-47-2500	0898-47-2500	指定なし	08:30～17:30	17:30～翌日08:30	2023年9月14日 木曜日	08:30～17:30 / 17:30～翌日08:30	34.0442409	133.0203312	https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312
43	2023-09-15	金曜日	木原病院	今治市別宮町３－７－８	0898-23-0634		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月15日 金曜日	08:30～17:30 / 17:30～翌日08:30	34.0692414	132.9947473	https://www.google.com/maps/dir/?api=1&destination=34.0692414,132.9947473
44	2023-09-16	土曜日	今治市医師会市民病院	今治市別宮町７－１－４０	0898-22-7611		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月16日 土曜日	08:30～17:30 / 17:30～翌日08:30	34.0736823	132.9916019	https://www.google.com/maps/dir/?api=1&destination=34.0736823,132.9916019
45	2023-09-17	日曜日	瀬戸内海病院	今治市北宝来町２－４－９	0898-23-0655		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月17日 日曜日	08:30～17:30 / 17:30～翌日08:30	34.0658354	132.9940533	https://www.google.com/maps/dir/?api=1&destination=34.0658354,132.9940533
46	2023-09-17	日曜日	済生会今治病院	今治市喜田村７丁目１番６号	0898-47-2500	0898-47-2500	小児科	09:00～17:00		2023年9月17日 日曜日	09:00～17:00	34.0442409	133.0203312	https://www.google.com/maps/dir/?api=1&destination=34.0442409,133.0203312
47	2023-09-17	日曜日	はかた外科	今治市伯方町叶浦甲１６６７－２５	0897-72-1711		島しょ部	09:00～17:00		2023年9月17日 日曜日	09:00～17:00	34.2057821	133.0745082	https://www.google.com/maps/dir/?api=1&destination=34.2057821,133.0745082
48	2023-09-18	祝日	今治第一病院	今治市宮下町１―１―２１	0898-23-2000		指定なし	08:30～17:30	17:30～翌日08:30	2023年9月18日 祝日	08:30～17:30 / 17:30～翌日08:30	34.0663904	132.9895736	https://www.google.com/maps/dir/?api=1&destination=34.0663904,132.9895736
49	2023-09-18	祝日	みぶ小児科	今治市北宝来町三丁目１番２７号	0898-23-7525		小児科	09:00～17:00		2023年9月18日 祝日	09:00～17:00	34.0658366	132.9928935	https://www.google.com/maps/dir/?api=1&destination=34.0658366,132.9928935
50	2023-09-18	祝日	しのざき整形外科	今治市伯方町伊方甲１０２２－１	0897-73-1221	0897-73-1221	島しょ部	09:00～17:00		2023年9月18日 祝日	09:00～17:00	34.2209377	133.0674465	https://www.google.com/maps/dir/?api=1&destination=34.2209377,133.0674465
